"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"276","Eleutheronema tetradactylum","elongated","pelagic-neritic",0,23,68.99,200,"highly commercial","high",0.625
"277","Galeoides decadactylus","fusiform / normal","demersal",10,70,29.94,50,"commercial","high",1
"278","Pentanemus quinquarius","fusiform / normal","demersal",10,70,18.12,35,"highly commercial","high",1
"279","Centropomus undecimalis","fusiform / normal","reef-associated",NA,22,45.7,140,"commercial","low",0.5005
"280","Lates calcarifer","fusiform / normal","demersal",10,40,68.5,200,"highly commercial","very high",0.5006
"281","Polyprion americanus","fusiform / normal","demersal",40,600,72.31,210,"minor commercial","low",0.8125
"282","Polyprion oxygeneios","fusiform / normal","demersal",50,854,58.35,160,"commercial","low",0.8125
"283","Acanthistius brasilianus","fusiform / normal","benthopelagic",30,NA,51.88,60,"commercial","high",0.5005
"284","Paralabrax humeralis","fusiform / normal","benthopelagic",60,180,34.38,54.5,"commercial","high",0.502
"285","Morone saxatilis","fusiform / normal","demersal",30,NA,60.64,200,"minor commercial","medium",0.5781
"286","Morone americana","elongated","demersal",10,NA,69.03,58,"minor commercial","low",0.5781
"287","Priacanthus macracanthus","fusiform / normal","reef-associated",12,400,17.48,30,"commercial","high",0.5002
"288","Synagrops japonicus","fusiform / normal","benthopelagic",50,1000,44.7,35,"commercial","unknown",0.5001
"289","Centropristis striata","fusiform / normal","reef-associated",1,NA,31.39,66,"commercial","very high",0.5312
"290","Lopholatilus chamaeleonticeps","fusiform / normal","demersal",80,540,69.8,125,"commercial","very high",0.75
"291","Lactarius lactarius","fusiform / normal","pelagic-neritic",15,100,20.94,40,"commercial","low",1.5
"292","Pomatomus saltatrix","fusiform / normal","pelagic-oceanic",0,200,63.38,130,"highly commercial","very high",1.5
"293","Trachurus japonicus","fusiform / normal","pelagic-neritic",0,275,57.06,50,"highly commercial","high",0.5001
"294","Trachurus murphyi","fusiform / normal","pelagic-oceanic",10,306,66.57,70,"highly commercial","medium",0.5001
"295","Trachurus symmetricus","fusiform / normal","pelagic-oceanic",0,400,29.99,81,"commercial","low",0.5001
"296","Trachurus lathami","fusiform / normal","reef-associated",30,200,37.06,40,"commercial","low",0.5001
"297","Exyrias belissimus","fusiform / normal","reef-associated",1,30,32.51,15,NA,"very high",0.5312
"298","Trachurus trecae","fusiform / normal","benthopelagic",20,100,36.23,35,"highly commercial","medium",0.5001
"299","Trachurus declivis","fusiform / normal","benthopelagic",27,460,50.49,64,"highly commercial","very high",0.5001
"300","Decapterus russelli","fusiform / normal","benthopelagic",40,275,23.83,45,"highly commercial","low",0.501
"301","Exyrias puntang","fusiform / normal","reef-associated",0,5,28.25,16.2,NA,"very high",0.5312
"302","Selene setapinnis","fusiform / normal","benthopelagic",0,55,27.3,60,"highly commercial","medium",0.5039
"303","Selene dorsalis","fusiform / normal","demersal",20,100,24.87,40,"commercial","high",0.5039
"304","Trachinotus carolinus","short and / or deep","benthopelagic",1,70,37.04,64,"highly commercial","very high",0.5
"305","Seriola lalandi","fusiform / normal","benthopelagic",3,825,68.79,250,"minor commercial","low",0.502
"306","Megalaspis cordyla","fusiform / normal","reef-associated",20,100,29.48,80,"highly commercial","high",1
"307","Chloroscombrus chrysurus","fusiform / normal","pelagic-neritic",0,110,27.78,65,"commercial","low",0.75
"308","Parona signata","fusiform / normal","demersal",NA,NA,35.01,60,"minor commercial","low",1
"309","Selar crumenophthalmus","fusiform / normal","reef-associated",0,170,39.44,70,"highly commercial","very high",0.75
"310","Selaroides leptolepis","fusiform / normal","reef-associated",1,50,13.43,22,"commercial","medium",1
"311","Mene maculata","short and / or deep","reef-associated",50,200,40.57,30,"commercial","medium",1.5
"312","Brama brama","short and / or deep","pelagic-neritic",0,1000,70.65,100,"commercial","low",0.5039
"313","Arripis georgianus","fusiform / normal","pelagic-neritic",1,NA,21.73,41,"commercial","very high",0.625
"314","Dicentrarchus punctatus","fusiform / normal","pelagic-neritic",30,NA,66.87,70,"minor commercial","medium",0.7656
"315","Emmelichthys nitidus nitidus","elongated","bathydemersal",86,500,56.31,55,"minor commercial","low",0.5156
"316","Nemipterus virgatus","fusiform / normal","demersal",1,220,34.8,35,"commercial","very high",0.5
"317","Isacia conceptionis","fusiform / normal","benthopelagic",0,50,50.64,60,"commercial","low",1
"318","Plectorhinchus mediterraneus","fusiform / normal","demersal",10,180,53.85,80,"commercial","low",0.5
"319","Pomadasys argenteus","fusiform / normal","demersal",15,115,37.61,70,"commercial","high",0.5
"320","Brachydeuterus auritus","fusiform / normal","benthopelagic",10,100,32.94,30,"highly commercial","high",1
"321","Conodon nobilis","fusiform / normal","demersal",1,100,26.92,33.6,"commercial","low",0.625
"322","Sillaginopsis panijus","elongated","demersal",NA,NA,30.69,44,"commercial","very high",1
"323","Cynoscion nebulosus","fusiform / normal","demersal",10,NA,58.44,100,"commercial","medium",0.5
"324","Cynoscion regalis","fusiform / normal","demersal",10,26,45.29,98,"commercial","low",0.5
"325","Cynoscion striatus","fusiform / normal","demersal",NA,60,45.74,60,"commercial","high",0.5
"326","Micropogonias undulatus","fusiform / normal","demersal",NA,100,34.09,55,"commercial","low",0.5156
"327","Menticirrhus americanus","fusiform / normal","demersal",NA,40,38.25,50,"commercial","medium",0.502
"328","Menticirrhus saxatilis","fusiform / normal","demersal",10,NA,26.05,46,"minor commercial","medium",0.502
"329","Menticirrhus littoralis","fusiform / normal","demersal",10,NA,33.03,48.3,"minor commercial","low",0.502
"330","Elagatis bipinnulata","fusiform / normal","reef-associated",0,150,50.69,180,"highly commercial","medium",1
"331","Umbrina canosai","fusiform / normal","demersal",NA,200,30.22,40,"highly commercial","low",0.5
"332","Larimichthys polyactis","fusiform / normal","benthopelagic",NA,120,29.98,40,"highly commercial","very high",0.625
"333","Macrodon ancylodon","fusiform / normal","demersal",0,60,36.48,45,"minor commercial","medium",0.625
"334","Argyrosomus regius","fusiform / normal","benthopelagic",15,300,67.17,230,"commercial","medium",0.502
"335","Argyrosomus hololepidotus","fusiform / normal","demersal",NA,400,76.5,200,"commercial","very high",0.502
"336","Atractoscion aequidens","fusiform / normal","benthopelagic",15,200,50.5,130,"commercial","medium",0.75
"337","Genyonemus lineatus","fusiform / normal","benthopelagic",NA,183,22.94,41,"minor commercial","low",1
"338","Pteroscion peli","fusiform / normal","benthopelagic",0,200,25.47,32,"commercial","high",1
"339","Paralonchurus peruanus","fusiform / normal","demersal",10,NA,33.62,51,"commercial","high",0.5156
"340","Pogonias cromis","fusiform / normal","demersal",10,NA,59.82,170,"commercial","low",1
"341","Epinephelus aeneus","fusiform / normal","demersal",20,200,52.39,120,"commercial","very high",0.5
"342","Larimichthys crocea","fusiform / normal","benthopelagic",0,120,42.07,80,"highly commercial","very high",0.625
"343","Leiostomus xanthurus","fusiform / normal","demersal",NA,60,29.15,36,"commercial","low",1
"344","Pseudotolithus senegalensis","fusiform / normal","demersal",0,70,42.48,114,"minor commercial","high",0.5156
"345","Pseudotolithus elongatus","fusiform / normal","demersal",0,100,30.5,47,"commercial","high",0.5156
"346","Pennahia argentata","fusiform / normal","benthopelagic",20,140,23.46,40,"commercial","very high",0.5312
"347","Pagellus bellottii","fusiform / normal","demersal",NA,250,48.9,42,"commercial","high",0.5156
"348","Dentex macrophthalmus","fusiform / normal","benthopelagic",30,500,33.42,65,"commercial","very high",0.5001
"349","Dentex dentex","fusiform / normal","benthopelagic",0,200,66.3,100,"commercial","very high",0.5001
"350","Dentex angolensis","fusiform / normal","demersal",15,300,58.47,37,"commercial","high",0.5001
"351","Archosargus probatocephalus","fusiform / normal","reef-associated",15,NA,36.43,91,"commercial","low",0.625
"352","Argyrops spinifer","short and / or deep","demersal",1,450,39.46,70,"commercial","high",0.5625
"353","Argyrozona argyrozona","fusiform / normal","benthopelagic",20,200,70.8,90,"minor commercial","low",1
"354","Cheimerius nufar","fusiform / normal","reef-associated",20,300,47.63,75,"minor commercial","low",0.75
"355","Pagrus major","fusiform / normal","demersal",10,200,58.39,100,"highly commercial","high",0.5156
"356","Petrus rupestris","fusiform / normal","demersal",10,NA,78.51,200,"minor commercial","low",1
"357","Pterogymnus laniarius","fusiform / normal","benthopelagic",20,150,47.4,45,"commercial","low",1
"358","Rhabdosargus globiceps","fusiform / normal","benthopelagic",NA,100,54.37,65,"minor commercial","low",0.5156
"359","Stenotomus chrysops","short and / or deep","demersal",15,NA,38.01,46,"commercial","low",0.75
"360","Pseudupeneus prayensis","fusiform / normal","demersal",10,300,29.86,55,"commercial","high",0.625
"361","Drepane punctata","short and / or deep","reef-associated",10,49,42.27,50,"commercial","unknown",0.75
"362","Drepane africana","short and / or deep","benthopelagic",10,75,56.18,45,"minor commercial","unknown",0.75
"363","Lebetus scorpioides","fusiform / normal","reef-associated",30,375,25.03,4,NA,"very high",0.75
"364","Tautoga onitis","fusiform / normal","reef-associated",1,75,69.45,91,"minor commercial","very high",1
"365","Nemadactylus bergi","fusiform / normal","demersal",NA,NA,52.15,39.48,"commercial","high",0.5078
"366","Arctoscopus japonicus","fusiform / normal","bathydemersal",0,550,31.04,30,"commercial","very high",1.25
"367","Parapercis colias","elongated","demersal",52,150,35.6,45,"commercial","high",0.5
"368","Percophis brasiliensis","elongated","demersal",NA,NA,40.8,53.3,"commercial","low",1
"369","Eleginops maclovinus","fusiform / normal","benthopelagic",NA,NA,76,NA,"minor commercial","medium",1.5
"370","Dissostichus eleginoides","fusiform / normal","pelagic-oceanic",50,3850,71.35,215,"commercial","very high",0.75
"371","Notothenia rossii","fusiform / normal","demersal",5,350,63.09,92,"commercial","high",0.5078
"372","Pleuragramma antarctica","fusiform / normal","pelagic-oceanic",0,728,51.9,25,"minor commercial","high",1
"373","Chaenocephalus aceratus","elongated","demersal",5,770,68.29,72,"minor commercial","high",1
"374","Champsocephalus gunnari","elongated","benthopelagic",0,700,35.26,66,"minor commercial","very high",0.75
"375","Pseudochaenichthys georgianus","fusiform / normal","demersal",0,475,47.46,60,"minor commercial","low",1
"376","Chionodraco rastrospinosus","elongated","benthopelagic",0,1000,51.07,52,"minor commercial","high",0.625
"377","Channichthys rhinoceratus","elongated","demersal",1,750,45.65,60,NA,"very high",0.502
"378","Chaenodraco wilsoni","elongated","benthopelagic",200,800,39.81,43,"minor commercial","very high",1
"379","Zoarces viviparus","elongated","demersal",0,40,50.34,52,"minor commercial","medium",0.5156
"380","Zoarces americanus","elongated","demersal",0,388,67.28,110,"commercial","low",0.5156
"381","Trisopterus minutus","fusiform / normal","benthopelagic",1,440,48.18,40,"commercial","medium",0.5625
"382","Genypterus blacodes","elongated","bathydemersal",22,1000,79.46,200,"highly commercial","medium",0.5156
"383","Genypterus maculatus","elongated","demersal",NA,NA,57.98,100,"commercial","low",0.5156
"384","Genypterus capensis","elongated","bathydemersal",50,500,72.94,180,"commercial","low",0.5156
"385","Brotula barbata","elongated","reef-associated",NA,650,52.44,94,"minor commercial","high",0.5156
"386","Ammodytes personatus","elongated","demersal",0,172,25.86,15,"highly commercial","very high",0.5156
"387","Hypoptychus dybowskii","elongated","benthopelagic",NA,NA,10,10,"commercial","unknown",1.25
"388","Thyrsites atun","elongated","benthopelagic",0,550,62.58,200,"highly commercial","very high",1
"389","Thyrsitops lepidopoides","fusiform / normal","benthopelagic",30,350,33.55,40,"minor commercial","high",1
"390","Pampus argenteus","short and / or deep","benthopelagic",5,110,30.52,60,"highly commercial","high",0.5313
"391","Peprilus triacanthus","fusiform / normal","benthopelagic",15,420,20.52,30,"commercial","medium",0.502
"392","Peprilus simillimus","short and / or deep","benthopelagic",9,91,19.49,28,"commercial","high",0.502
"393","Hyperoglyphe antarctica","fusiform / normal","benthopelagic",40,1500,50.8,140,"commercial","low",0.5156
"394","Psenopsis anomala","short and / or deep","benthopelagic",0,370,32.21,30,"commercial","very high",0.5156
"395","Sebastes norvegicus","fusiform / normal","pelagic-oceanic",100,1000,71.07,100,"highly commercial","low",0.5
"396","Sebastes entomelas","fusiform / normal","pelagic-neritic",0,549,64.5,60,"commercial","low",0.5
"397","Sebastes flavidus","fusiform / normal","reef-associated",0,549,56.18,66,"commercial","low",0.5
"398","Sebastes alutus","fusiform / normal","bathydemersal",0,825,55.47,53,"highly commercial","medium",0.5
"399","Sebastes mentella","fusiform / normal","bathypelagic",300,1441,56.15,58,"commercial","low",0.5
"400","Sebastes capensis","fusiform / normal","demersal",20,275,52.6,37,"commercial","medium",0.5
"401","Chelidonichthys kumu","elongated","demersal",1,200,29.47,60,"commercial","very high",0.501
"402","Pterygotrigla polyommata","fusiform / normal","demersal",18,300,56.87,62,"minor commercial","high",0.5
"403","Ophiodon elongatus","elongated","demersal",0,475,63.47,152,"commercial","low",1.0002
"404","Pleurogrammus azonus","fusiform / normal","demersal",0,240,37.27,62,"highly commercial","medium",0.7502
"405","Anoplopoma fimbria","fusiform / normal","bathydemersal",175,2740,55.72,120,"highly commercial","very high",1.25
"406","Psettodes erumei","fusiform / normal","demersal",1,100,28.89,64,"commercial","high",0.75
"407","Hippoglossus stenolepis","fusiform / normal","demersal",0,1200,86.03,258,"highly commercial","very high",0.75
"408","Reinhardtius hippoglossoides","fusiform / normal","benthopelagic",1,2200,70.49,110,"highly commercial","medium",1
"409","Atheresthes stomias","short and / or deep","demersal",18,950,63.58,84,"highly commercial","low",0.75
"410","Atheresthes evermanni","short and / or deep","demersal",20,1200,64.07,100,"commercial","high",0.75
"411","Hippoglossoides elassodon","short and / or deep","demersal",0,1050,69.58,52,"commercial","low",0.5625
"412","Limanda aspera","short and / or deep","demersal",0,700,62.4,49,"highly commercial","medium",0.5156
"413","Limanda ferruginea","short and / or deep","demersal",27,364,36.58,64,"commercial","very high",0.5156
"414","Paraplagusia bilineata","short and / or deep","demersal",1,25,31.76,30,"minor commercial","very high",0.5156
"415","Pseudopleuronectes americanus","short and / or deep","demersal",5,143,33.64,64,"commercial","very high",0.5312
"416","Solea solea","short and / or deep","demersal",0,150,36.09,70,"highly commercial","very high",0.502
"417","Dicologlossa cuneata","fusiform / normal","demersal",10,460,31.31,30,"commercial","very high",0.75
